"result_id","tier","dataset","analysis_population","analysis","outcome","comparison_or_metric","effect_measure","estimate","lower_95","upper_95","p_value","n","events","display_value","destination","submission_status","amendment"
"MIMIC_OASIS_CONT_P2","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official OASIS continuous adjusted Cox","365-day all-cause mortality","P2 vs P3","HR",1.82309737897094,1.44534911992388,2.29957178331126,3.98994364478248e-07,1100,550,"1.82 (1.45<U+2013>2.30)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_CONT_P1","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official first-day SOFA continuous adjusted Cox","365-day all-cause mortality","P1 vs P3","HR",1.66557568692343,1.35392335593078,2.048965590791,1.38763197648029e-06,1100,550,"1.67 (1.35<U+2013>2.05)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_CONT_P2","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official first-day SOFA continuous adjusted Cox","365-day all-cause mortality","P2 vs P3","HR",1.56251653638136,1.23640977361877,1.97463492974456,0.000186340778286597,1100,550,"1.56 (1.24<U+2013>1.97)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_HOSPITAL_P1","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Hospital mortality official first-day SOFA adjusted logistic model","In-hospital mortality","P1 vs P3","OR",2.04124418004105,1.39692548516553,2.98274879139866,0.000226561109880447,1100,264,"2.04 (1.40<U+2013>2.98)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_HOSPITAL_P2","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Hospital mortality official first-day SOFA adjusted logistic model","In-hospital mortality","P2 vs P3","OR",2.14266344794657,1.40303040964987,3.27220751566745,0.000419427888284835,1100,264,"2.14 (1.40<U+2013>3.27)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_LANDMARK24_P1","Sensitivity","MIMIC-IV v3.1","24-hour landmark cohort","24-hour landmark official first-day SOFA quartile-stratified Cox","365-day all-cause mortality","P1 vs P3","HR",1.71713476732427,1.38521970964628,2.12858060610954,8.0806784038743e-07,1053,503,"1.72 (1.39<U+2013>2.13)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_LANDMARK24_P2","Sensitivity","MIMIC-IV v3.1","24-hour landmark cohort","24-hour landmark official first-day SOFA quartile-stratified Cox","365-day all-cause mortality","P2 vs P3","HR",1.60860082143904,1.26223240074023,2.05001598851119,0.0001218394891007,1053,503,"1.61 (1.26<U+2013>2.05)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_QUARTILE_P1","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official first-day SOFA quartile-stratified Cox","365-day all-cause mortality","P1 vs P3","HR",1.72530872816487,1.40242029559485,2.12253788456426,2.48160098915487e-07,1100,550,"1.73 (1.40<U+2013>2.12)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"MIMIC_SOFA_QUARTILE_P2","Sensitivity","MIMIC-IV v3.1","Albumin six-feature phenotype cohort","Official first-day SOFA quartile-stratified Cox","365-day all-cause mortality","P2 vs P3","HR",1.60614524141613,1.27149178018358,2.02887865791096,7.04084460013684e-05,1100,550,"1.61 (1.27<U+2013>2.03)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 16"
"STRUCT_MIMIC_CLARA_P1","Structural sensitivity","MIMIC-IV v3.1","Primary six-feature-complete cohort, relabelled under the stated structural variant","CLARA K-medoids","365-day all-cause mortality","P1 vs P3","HR",1.91806413517792,1.56651668109638,2.34850357551314,2.87664309078863e-10,1100,550,"1.92 (1.57<U+2013>2.35)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_MIMIC_CLARA_P2","Structural sensitivity","MIMIC-IV v3.1","Primary six-feature-complete cohort, relabelled under the stated structural variant","CLARA K-medoids","365-day all-cause mortality","P2 vs P3","HR",1.55883334268232,1.25736531585364,1.93258185160643,5.15289101076906e-05,1100,550,"1.56 (1.26<U+2013>1.93)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_MIMIC_GMM_P1","Structural sensitivity","MIMIC-IV v3.1","Primary six-feature-complete cohort, relabelled under the stated structural variant","Gaussian mixture","365-day all-cause mortality","P1 vs P3","HR",1.80288747865297,1.33617334625867,2.43262093933015,0.000115219589589656,1100,550,"1.80 (1.34<U+2013>2.43)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_MIMIC_GMM_P2","Structural sensitivity","MIMIC-IV v3.1","Primary six-feature-complete cohort, relabelled under the stated structural variant","Gaussian mixture","365-day all-cause mortality","P2 vs P3","HR",3.31770211488296,2.36756292580849,4.64914668290817,3.24935152477774e-12,1100,550,"3.32 (2.37<U+2013>4.65)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_MIMIC_NLR5_P1","Structural sensitivity","MIMIC-IV v3.1","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature NLR only","365-day all-cause mortality","P1 vs P3","HR",1.73509607406462,1.39531278140513,2.15762259642079,7.2041283637771e-07,1100,550,"1.74 (1.40<U+2013>2.16)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_MIMIC_NLR5_P2","Structural sensitivity","MIMIC-IV v3.1","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature NLR only","365-day all-cause mortality","P2 vs P3","HR",1.70617256091801,1.37862721865659,2.11153875988765,8.99973699895563e-07,1100,550,"1.71 (1.38<U+2013>2.11)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
