dataset,k,consensus,empirical_cdf
MIMIC-IV,2,0.56,0.5059822979568203
MIMIC-IV,2,0.5700000000000001,0.5076515840847051
MIMIC-IV,2,0.58,0.509297708660766
MIMIC-IV,2,0.59,0.5109173628918852
MIMIC-IV,2,0.6,0.5130531888493672
MIMIC-IV,2,0.61,0.514631483166515
MIMIC-IV,2,0.62,0.5164744809330797
MIMIC-IV,2,0.63,0.5181768549921416
MIMIC-IV,2,0.64,0.5198626850856151
MIMIC-IV,2,0.65,0.5214128546612623
MIMIC-IV,2,0.66,0.5226950119943751
MIMIC-IV,2,0.67,0.5240383820001654
MIMIC-IV,2,0.68,0.5255372652824882
MIMIC-IV,2,0.6900000000000001,0.5270047150301927
MIMIC-IV,2,0.7000000000000001,0.5287534121929026
MIMIC-IV,2,0.71,0.5305418148730251
MIMIC-IV,2,0.72,0.5326048473819175
MIMIC-IV,2,0.73,0.5346215567871618
MIMIC-IV,2,0.74,0.5372173049880056
MIMIC-IV,2,0.75,0.539976838448176
MIMIC-IV,2,0.76,0.5417966746629167
MIMIC-IV,2,0.77,0.5441988584663744
MIMIC-IV,2,0.78,0.5468740177020431
MIMIC-IV,2,0.79,0.5491852096947638
MIMIC-IV,2,0.8,0.5523599966912068
MIMIC-IV,2,0.81,0.5548068492017537
MIMIC-IV,2,0.8200000000000001,0.5577549838696335
MIMIC-IV,2,0.8300000000000001,0.5606452146579535
MIMIC-IV,2,0.84,0.5639655885515759
MIMIC-IV,2,0.85,0.5674431301182894
MIMIC-IV,2,0.86,0.5708247166845893
MIMIC-IV,2,0.87,0.5739879229051204
MIMIC-IV,2,0.88,0.5770866076598561
MIMIC-IV,2,0.89,0.579920588965175
MIMIC-IV,2,0.9,0.5829431714782033
MIMIC-IV,2,0.91,0.5858631814045827
MIMIC-IV,2,0.92,0.5894796922822401
MIMIC-IV,2,0.93,0.5934237736785507
MIMIC-IV,2,0.9400000000000001,0.5983687649929688
MIMIC-IV,2,0.9500000000000001,0.6037190834643064
MIMIC-IV,2,0.96,0.6097890644387459
MIMIC-IV,2,0.97,0.6191910000827199
MIMIC-IV,2,0.98,0.6223260815617504
MIMIC-IV,2,0.99,0.6630407808751758
MIMIC-IV,2,1,1
MIMIC-IV,3,0,0.523975514930929
MIMIC-IV,3,0.01,0.523975514930929
MIMIC-IV,3,0.02,0.5459128133013483
MIMIC-IV,3,0.03,0.549239804781206
MIMIC-IV,3,0.04,0.5559368020514517
MIMIC-IV,3,0.05,0.5610687401770205
MIMIC-IV,3,0.06,0.5642005128629333
MIMIC-IV,3,0.07,0.5683695921912483
MIMIC-IV,3,0.08,0.5720588965174952
MIMIC-IV,3,0.09,0.5752866242038217
MIMIC-IV,3,0.1,0.5780279593018447
MIMIC-IV,3,0.11,0.5804516502605674
MIMIC-IV,3,0.12,0.5827446438911407
MIMIC-IV,3,0.13,0.5848126395897096
MIMIC-IV,3,0.14,0.5868177682190421
MIMIC-IV,3,0.15,0.5890991810737034
MIMIC-IV,3,0.16,0.5910894201340061
MIMIC-IV,3,0.17,0.5932087021258996
MIMIC-IV,3,0.18,0.5951096037720242
MIMIC-IV,3,0.19,0.5971875258499463
MIMIC-IV,3,0.2,0.5995218793944909
MIMIC-IV,3,0.21,0.6011911655223757
MIMIC-IV,3,0.22,0.6029944577715278
MIMIC-IV,3,0.23,0.60507237984945
MIMIC-IV,3,0.24,0.6071321035652246
MIMIC-IV,3,0.25,0.6098535859045413
MIMIC-IV,3,0.26,0.6117346347919597
MIMIC-IV,3,0.27,0.6140243196294152
MIMIC-IV,3,0.28,0.6159169492927454
MIMIC-IV,3,0.29,0.6177698734386633
MIMIC-IV,3,0.3,0.6197617668955249
MIMIC-IV,3,0.31,0.6214062370750268
MIMIC-IV,3,0.32,0.623174786996443
MIMIC-IV,3,0.33,0.6251501364877161
MIMIC-IV,3,0.34,0.6269749358921334
MIMIC-IV,3,0.35000000000000003,0.6285615021920754
MIMIC-IV,3,0.36,0.6299578128877492
MIMIC-IV,3,0.37,0.6314831665150137
MIMIC-IV,3,0.38,0.6328166101414509
MIMIC-IV,3,0.39,0.6341847960956242
MIMIC-IV,3,0.4,0.6358259574820084
MIMIC-IV,3,0.41000000000000003,0.6372090330052114
MIMIC-IV,3,0.42,0.6387294234427993
MIMIC-IV,3,0.43,0.6402928281909174
MIMIC-IV,3,0.44,0.6420481429398627
MIMIC-IV,3,0.45,0.6436992307056001
MIMIC-IV,3,0.46,0.6451815700223343
MIMIC-IV,3,0.47000000000000003,0.6469484655471917
MIMIC-IV,3,0.48,0.6487567209860203
